time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-05-17T05:11:43.550Z,12.5638,-87.7951,71.9,4.5,mb,,147,0.756,0.98,us,usb000qs8f,2014-05-17T05:59:11.000Z,"42km WSW of Jiquilillo, Nicaragua",earthquake
2014-05-17T03:08:42.600Z,9.7354,143.3878,15.52,4.6,mb,,232,4.095,0.41,us,usb000qs6a,2014-05-17T04:04:41.598Z,"176km NW of Faraulep, Micronesia",earthquake
2014-05-16T21:20:24.580Z,-4.9117,102.9928,65.82,5,mb,,83,0.548,0.79,us,usb000qrx0,2014-05-17T05:22:57.696Z,"86km W of Kuripan, Indonesia",earthquake
2014-05-16T21:11:29.240Z,-10.3806,-13.2346,10,5.1,mb,,54,2.674,0.66,us,usb000qrwx,2014-05-17T05:14:01.600Z,"300km SSE of Georgetown, Saint Helena",earthquake
2014-05-16T17:29:20.580Z,-2.4862,138.9358,23.85,4.8,mb,,67,6.693,0.9,us,usb000qre6,2014-05-17T01:32:01.610Z,"183km W of Abepura, Indonesia",earthquake
2014-05-16T17:08:32.480Z,-23.4549,-68.5776,102.66,5.5,mwr,,28,0.857,1.44,us,usb000qrc9,2014-05-17T02:56:34.000Z,"70km SSW of San Pedro de Atacama, Chile",earthquake
2014-05-16T16:52:24.430Z,17.0486,-60.4409,10,4.7,mb,,129,1.873,1,us,usb000qrak,2014-05-17T00:54:59.096Z,"106km NE of Grande Anse, Guadeloupe",earthquake
2014-05-16T16:26:48.230Z,-36.6425,-73.5146,11.86,4.8,mb,,164,0.441,0.83,us,usb000qr8t,2014-05-17T00:29:30.520Z,"36km WNW of Talcahuano, Chile",earthquake
2014-05-16T12:34:53.000Z,17.0878,-60.3165,10,4.6,mb,,99,1.517,0.72,us,usb000qqpi,2014-05-16T20:37:33.473Z,"118km NE of Grande Anse, Guadeloupe",earthquake
2014-05-16T12:30:21.240Z,17.1053,-60.4059,10,4.8,mb,,47,1.431,0.82,us,usb000qqpa,2014-05-16T20:32:54.593Z,"113km NE of Grande Anse, Guadeloupe",earthquake
2014-05-16T11:26:29.800Z,51.6567,157.3864,146.27,4.7,mb,,125,1.466,0.92,us,usb000qqn2,2014-05-16T19:29:05.007Z,"62km ENE of Ozernovskiy, Russia",earthquake
2014-05-16T11:12:04.250Z,17.0948,-60.3438,10,5,mb,,84,1.49,0.77,us,usb000qqm7,2014-05-16T19:14:43.465Z,"117km NE of Grande Anse, Guadeloupe",earthquake
2014-05-16T11:01:42.960Z,17.0865,-60.3898,24.48,6,mwp,,28,1.453,0.75,us,usb000qqlq,2014-05-16T19:04:24.981Z,"113km NE of Grande Anse, Guadeloupe",earthquake
2014-05-16T10:13:29.520Z,-16.3348,-173.2069,16.66,4.7,mb,,57,2.778,1.05,us,usb000qql8,2014-05-16T18:16:05.388Z,"72km SE of Hihifo, Tonga",earthquake
2014-05-16T10:02:07.720Z,51.4903,-174.784,39.33,4.7,mb,,174,0.8,1.09,us,usb000qqku,2014-05-16T22:10:32.152Z,"88km SSW of Atka, Alaska",earthquake
2014-05-16T08:01:22.740Z,-10.0331,-74.1456,138.22,4.6,mb,,108,3.283,0.88,us,usb000qqhv,2014-05-16T16:04:04.096Z,"145km NNE of Satipo, Peru",earthquake
2014-05-16T06:32:10.430Z,29.4795,67.7386,17.18,4.9,mb,,99,5.166,0.79,us,usb000qqg4,2014-05-16T14:35:08.111Z,"8km E of Dadhar, Pakistan",earthquake
2014-05-16T00:40:15.780Z,-22.4772,173.0652,7.74,5.7,mwp,,20,6.145,0.71,us,usb000qqbk,2014-05-16T13:56:32.000Z,"104km E of Ile Hunter, New Caledonia",earthquake
2014-05-15T22:43:18.260Z,-7.6061,-79.3675,66.51,5.1,mb,,68,5.014,0.85,us,usb000qpp0,2014-05-16T04:46:02.026Z,"15km NNW of Paijan, Peru",earthquake
2014-05-15T16:33:04.790Z,-15.7851,-172.5708,8.37,5,mb,,60,2.016,0.87,us,usb000qnyu,2014-05-16T04:49:09.927Z,"127km E of Hihifo, Tonga",earthquake
2014-05-15T10:16:41.780Z,9.3763,122.0681,13.99,6.2,mwp,,19,6.678,0.97,us,usb000qniy,2014-05-15T18:19:24.043Z,"50km WSW of Alim, Philippines",earthquake
2014-05-15T09:48:13.910Z,35.0707,139.4079,122.55,4.8,mb,,118,1.761,0.75,us,usb000qnid,2014-05-15T17:50:57.730Z,"20km WSW of Miura, Japan",earthquake
2014-05-15T08:26:26.460Z,-20.5688,-178.1672,519.5,4.7,mb,,53,4.544,0.62,us,usb000qnh6,2014-05-15T16:29:06.525Z,"56km E of Ndoi Island, Fiji",earthquake
2014-05-15T08:16:34.950Z,6.5092,144.8994,10,6.6,mwp,,11,7.035,1.02,us,usb000qngw,2014-05-16T00:31:54.747Z,"96km SSE of Ifalik, Micronesia",earthquake
2014-05-15T04:32:30.100Z,-6.4178,154.8413,95.89,4.7,mb,,33,3.464,0.67,us,usb000qnf7,2014-05-15T12:36:04.691Z,"72km W of Panguna, Papua New Guinea",earthquake
2014-05-15T01:48:57.140Z,-5.6397,-80.8618,35,4.7,mb,,117,7.453,0.9,us,usb000qndw,2014-05-15T09:52:30.215Z,"10km SSW of Sechura, Peru",earthquake
2014-05-15T00:53:25.900Z,-33.7846,-70.2722,105.73,4.5,mb,,111,0.551,0.64,us,usb000qncl,2014-05-16T04:50:00.088Z,"34km ESE of Puente Alto, Chile",earthquake
2014-05-14T21:12:51.050Z,-8.3872,-76.0547,25.65,4.7,mb,,129,3.66,0.8,us,usb000qn4t,2014-05-15T05:15:29.169Z,"45km E of Uchiza, Peru",earthquake
2014-05-14T20:56:13.330Z,6.4585,144.8772,10.59,6.1,mwb,,28,7.085,0.68,us,usb000qn2z,2014-05-15T14:56:32.000Z,"99km SSE of Ifalik, Micronesia",earthquake
2014-05-14T18:47:03.140Z,5.042,-82.5667,23.28,4.5,mb,,83,4.911,1.14,us,usb000qmsx,2014-05-15T02:49:40.639Z,"South of Panama",earthquake
2014-05-14T17:29:43.360Z,12.9703,-88.8188,61.57,4.5,mb,,132,0.817,1.07,us,usb000qmmp,2014-05-16T04:52:21.314Z,"45km SW of Puerto El Triunfo, El Salvador",earthquake
2014-05-14T16:11:06.360Z,-5.0564,150.7279,216.94,4.8,mb,,68,1.669,0.6,us,usb000qmh7,2014-05-15T00:14:46.639Z,"84km NE of Kimbe, Papua New Guinea",earthquake
2014-05-14T09:46:14.980Z,7.3792,-82.3729,10,5,mb,,84,3.074,1.26,us,usb000qm11,2014-05-15T00:56:31.000Z,"90km SE of Punta de Burica, Panama",earthquake
2014-05-14T06:41:38.650Z,-5.8431,102.9054,36.22,4.8,mb,,89,1.473,1,us,usb000qlwv,2014-05-14T14:44:10.126Z,"130km SW of Kuripan, Indonesia",earthquake
2014-05-14T05:51:47.570Z,-19.6758,-71.0583,10,5.2,mb,,139,0.885,1.25,us,usb000qlw0,2014-05-15T17:36:07.000Z,"113km WNW of Iquique, Chile",earthquake
2014-05-14T05:28:25.140Z,7.6814,-82.32,10,5.1,mb,,79,2.865,1.4,us,usb000qlvl,2014-05-14T05:50:04.086Z,"71km ESE of Punta de Burica, Panama",earthquake
2014-05-14T03:38:21.090Z,-22.721,-66.4363,212.65,5.2,mb,,56,2.288,1.2,us,usb000qlti,2014-05-14T14:33:47.000Z,"75km W of Abra Pampa, Argentina",earthquake
2014-05-14T01:51:34.350Z,-27.4868,-178.9782,377.4,5,mb,,106,1.98,1.49,us,usb000qlrt,2014-05-14T09:54:00.510Z,"223km NNW of Raoul Island, New Zealand",earthquake
2014-05-13T23:44:20.390Z,1.0337,127.8951,10,4.6,mb,,102,0.588,0.7,us,usb000qlpe,2014-05-14T07:47:46.712Z,"60km ENE of Ternate, Indonesia",earthquake
2014-05-13T23:03:24.280Z,41.9673,142.4654,64.95,4.8,mb,,104,0.517,0.83,us,usb000qlnd,2014-05-14T13:59:07.334Z,"41km SSE of Shizunai, Japan",earthquake
2014-05-13T21:59:04.880Z,7.5512,-82.3443,10,4.6,mb,,155,2.954,1.3,us,usb000qljz,2014-05-13T23:19:18.132Z,"78km SE of Punta de Burica, Panama",earthquake
2014-05-13T19:33:57.730Z,-19.966,-71.0498,9.92,4.5,mwr,,145,0.946,0.93,us,usb000ql9s,2014-05-14T15:22:09.090Z,"98km WNW of Iquique, Chile",earthquake
2014-05-13T18:07:31.140Z,3.855,-71.334,15.42,4.6,mb,,111,2.692,1.08,us,usb000qkvb,2014-05-14T15:05:43.000Z,"97km ESE of Puerto Gaitan, Colombia",earthquake
2014-05-13T14:40:54.130Z,-56.9121,-25.1715,10.85,5.3,mwb,,59,6.932,0.61,us,usb000qkgr,2014-05-13T22:43:31.074Z,"126km ESE of Visokoi Island, ",earthquake
2014-05-13T14:31:59.160Z,-30.7158,-179.0663,210.48,4.8,mb,,141,1.767,0.97,us,usb000qkg5,2014-05-13T22:35:47.888Z,"81km NNW of L'Esperance Rock, New Zealand",earthquake
2014-05-13T13:04:01.220Z,45.8777,154.0725,24.51,4.6,mb,,138,7.611,0.82,us,usb000qkdw,2014-05-13T21:06:30.592Z,"East of the Kuril Islands",earthquake
2014-05-13T10:38:17.580Z,-6.8108,155.3256,72.22,5.1,mb,,23,4.083,0.93,us,usb000qk9x,2014-05-13T18:41:34.862Z,"57km SSW of Panguna, Papua New Guinea",earthquake
2014-05-13T10:36:04.030Z,-6.9674,155.566,35,4.7,mb,,48,4.367,0.9,us,usb000qka2,2014-05-13T18:38:52.241Z,"72km S of Panguna, Papua New Guinea",earthquake
2014-05-13T10:05:38.860Z,-15.2757,-177.1723,10.58,4.7,mb,,104,5.196,1.01,us,usb000qk99,2014-05-13T18:08:04.727Z,"152km SE of Sigave, Wallis and Futuna",earthquake
2014-05-13T06:35:24.380Z,7.2164,-82.328,10,6.5,mww,,47,3.135,1.37,us,usb000qk64,2014-05-14T15:42:41.735Z,"108km SSE of Punta de Burica, Panama",earthquake
2014-05-12T23:35:02.000Z,35.4915,140.1494,51.19,5,mb,,115,1.895,0.98,us,usb000qjz9,2014-05-16T00:25:03.561Z,"6km ESE of Ichihara, Japan",earthquake
2014-05-12T22:44:42.520Z,0.3969,126.5184,51.71,4.5,mb,,61,0.926,0.81,us,usb000qjxl,2014-05-13T06:47:20.449Z,"103km WSW of Kota Ternate, Indonesia",earthquake
2014-05-12T18:51:00.940Z,43.7157,-128.0555,10,5.1,mb,,160,3.528,0.95,us,usb000qjhw,2014-05-13T07:24:44.694Z,"Off the coast of Oregon",earthquake
2014-05-12T18:38:37.520Z,-49.9422,-114.6788,8.31,6.5,mww,,35,23.15,1.43,us,usb000qjhh,2014-05-13T23:11:39.374Z,"Southern East Pacific Rise",earthquake
2014-05-12T16:27:22.730Z,20.0369,145.6198,131.17,4.9,mb,,18,6.451,0.64,us,usb000qjat,2014-05-13T00:29:53.507Z,"93km SE of Farallon de Pajaros, Northern Mariana Islands",earthquake
2014-05-12T14:40:29.970Z,0.3353,123.7766,198.69,4.6,mb,,80,1.697,0.44,us,usb000qj5j,2014-05-12T22:43:12.773Z,"23km WSW of Molibagu, Indonesia",earthquake
2014-05-12T11:54:29.010Z,-20.6056,-70.9073,16.56,4.7,mb,,127,0.681,0.79,us,usb000qiyh,2014-05-12T22:08:42.000Z,"90km WSW of Iquique, Chile",earthquake
2014-05-12T08:19:36.070Z,28.2887,138.8222,523.39,4.5,mb,,104,4.886,0.72,us,usb000qit7,2014-05-12T16:22:04.273Z,"Bonin Islands, Japan region",earthquake
2014-05-12T05:08:03.460Z,-6.9392,155.2806,81.08,4.9,mb,,64,4.132,1.02,us,usb000qini,2014-05-12T13:10:45.393Z,"72km SSW of Panguna, Papua New Guinea",earthquake
2014-05-12T03:36:06.350Z,-4.9559,68.5754,28.85,5,mb,,60,4.561,1.14,us,usb000qiky,2014-05-13T04:23:26.000Z,"Chagos Archipelago region",earthquake
2014-05-12T01:37:23.920Z,-30.3014,-177.729,9.17,4.7,mb,,61,1.067,0.91,us,usb000qihv,2014-05-12T09:40:00.302Z,"115km S of Raoul Island, New Zealand",earthquake
2014-05-12T00:54:32.370Z,39.8048,20.1945,10,4.9,mb,,38,1.334,0.8,us,usb000qif4,2014-05-17T01:09:12.158Z,"16km N of Konispol, Albania",earthquake
2014-05-11T22:38:41.420Z,13.722,-91.6847,49.83,4.5,mb,,140,0.795,0.95,us,usb000qi67,2014-05-12T06:41:11.993Z,"67km SW of Nueva Concepcion, Guatemala",earthquake
2014-05-11T22:07:23.870Z,-17.9277,-172.7589,36.75,4.6,mb,,87,2.919,0.84,us,usb000qi4z,2014-05-12T06:09:59.848Z,"152km ENE of Neiafu, Tonga",earthquake
2014-05-11T20:42:34.590Z,-13.9091,167.2498,231,5.3,mb,,29,8.418,0.94,us,usb000qi18,2014-05-13T18:43:18.000Z,"32km W of Sola, Vanuatu",earthquake
2014-05-11T15:52:14.580Z,-15.7692,168.0216,53.14,4.7,mb,,131,9.807,0.71,us,usb000qhsj,2014-05-11T23:54:47.392Z,"75km ENE of Norsup, Vanuatu",earthquake
2014-05-11T15:32:24.040Z,-6.5255,155.0048,61.15,5.1,mb,,18,5.686,0.81,us,usb000qhrs,2014-05-11T23:35:07.004Z,"57km WSW of Panguna, Papua New Guinea",earthquake
2014-05-11T15:29:10.650Z,-20.0842,-70.9914,9.93,4.6,mb,,144,0.899,0.63,us,usb000qhrj,2014-05-12T22:12:00.000Z,"89km W of Iquique, Chile",earthquake
2014-05-11T14:32:03.000Z,51.1467,-178.1201,46.73,4.7,mb,,199,0.929,0.66,us,usb000qhql,2014-05-11T22:34:41.759Z,"70km E of Amatignak Island, Alaska",earthquake
2014-05-11T13:30:29.720Z,5.5227,126.5591,73.04,5.3,mb,,49,1.819,0.82,us,usb000qhpz,2014-05-11T21:33:09.867Z,"101km SSE of Pondaguitan, Philippines",earthquake
2014-05-11T12:35:17.870Z,-47.9212,99.7327,10,5.5,mb,,50,19.264,1,us,usb000qhnh,2014-05-13T19:30:57.000Z,"Southeast Indian Ridge",earthquake
2014-05-11T12:34:57.510Z,-47.8117,99.8734,10,5.2,mb,,76,19.349,0.83,us,usb000qhn7,2014-05-11T20:37:35.571Z,"Southeast Indian Ridge",earthquake
2014-05-11T10:32:16.910Z,36.2285,142.246,38.77,4.7,mb,,117,3.276,0.76,us,usb000qhks,2014-05-11T18:34:50.406Z,"138km ENE of Hasaki, Japan",earthquake
2014-05-11T01:10:18.110Z,-3.4748,146.0745,22.29,5.6,mwp,,48,5.988,0.69,us,usb000qhf5,2014-05-13T16:00:18.000Z,"195km N of Madang, Papua New Guinea",earthquake
2014-05-11T00:58:20.410Z,-3.5024,146.0759,8.7,4.8,mb,,47,5.961,0.83,us,usb000qhes,2014-05-17T00:44:53.895Z,"192km N of Madang, Papua New Guinea",earthquake
2014-05-10T23:42:41.250Z,-6.002,130.6642,120.55,4.7,mb,,91,2.066,0.81,us,usb000qhdl,2014-05-11T07:45:13.584Z,"227km NNW of Saumlaki, Indonesia",earthquake
2014-05-10T20:07:44.600Z,14.5302,123.6874,1,4.9,mb,,70,4.322,1.06,us,usb000qh91,2014-05-10T21:52:32.606Z,"71km N of Garchitorena, Philippines",earthquake
2014-05-10T19:46:20.130Z,-6.951,155.4344,44.59,4.9,mb,,61,5.105,0.59,us,usb000qh8a,2014-05-11T05:46:42.750Z,"70km S of Panguna, Papua New Guinea",earthquake
2014-05-10T18:24:30.540Z,23.7703,122.5593,26.48,4.7,mwr,,88,0.807,1.11,us,usb000qh5y,2014-05-13T16:55:39.956Z,"89km SSW of Yonakuni, Japan",earthquake
2014-05-10T17:26:31.050Z,17.2903,-100.6266,2.11,4.8,mb,,202,1.985,1.23,us,usb000qh47,2014-05-13T16:20:19.323Z,"7km NE of Tecpan de Galeana, Mexico",earthquake
2014-05-10T14:16:09.000Z,60.0035,-152.1323,91.1,5.6,ml,152,39.5999968320003,,0.95,ak,ak11257368,2014-05-16T21:21:13.724Z,"35km NW of Anchor Point, Alaska",earthquake
2014-05-10T10:32:39.240Z,-18.35,-71.3378,25.54,4.6,mb,,143,0.946,1.13,us,usb000qgvt,2014-05-12T22:16:26.000Z,"78km S of Ilo, Peru",earthquake
2014-05-10T09:54:55.540Z,5.3921,96.127,62.12,4.6,mb,,189,0.832,0.36,us,usb000qgvh,2014-05-10T17:06:23.530Z,"18km E of Sigli, Indonesia",earthquake
2014-05-10T09:00:37.650Z,-41.2226,-81.1678,10,4.8,mb,,80,6.644,0.97,us,usb000qguk,2014-05-10T17:03:07.263Z,"West Chile Rise",earthquake
2014-05-10T07:36:01.470Z,17.2304,-100.788,23,6,mwb,,47,2.146,1.25,us,usb000qgt2,2014-05-14T04:42:29.277Z,"11km W of Tecpan de Galeana, Mexico",earthquake
2014-05-10T05:56:27.610Z,-7.1986,154.525,52.08,4.5,mb,,103,5.809,0.54,us,usb000qgs2,2014-05-10T13:59:14.556Z,"144km SW of Panguna, Papua New Guinea",earthquake
2014-05-10T02:42:11.090Z,-8.113,117.5636,224.65,5.4,mwp,,50,3.394,1.07,us,usb000qgpv,2014-05-10T03:02:57.457Z,"23km W of Labuhankananga, Indonesia",earthquake
2014-05-10T02:14:33.160Z,-45.7302,-12.5422,10,5.3,mb,,74,26.43,0.6,us,usb000qgpk,2014-05-10T10:17:15.159Z,"Southern Mid-Atlantic Ridge",earthquake
2014-05-10T01:19:03.920Z,-4.1063,153.223,83.13,4.6,mb,,58,7.996,0.51,us,usb000qgn0,2014-05-10T09:21:39.564Z,"45km NNE of Taron, Papua New Guinea",earthquake
2014-05-09T21:51:07.750Z,-7.0315,154.8564,33.17,5.1,mb,,29,5.577,0.73,us,usb000qgem,2014-05-10T05:53:44.721Z,"105km SW of Panguna, Papua New Guinea",earthquake
2014-05-09T18:14:01.230Z,-23.4279,-175.1335,7.03,5,mb,,47,6.312,1.47,us,usb000qfwr,2014-05-10T14:10:02.567Z,"232km S of `Ohonua, Tonga",earthquake
2014-05-09T17:47:02.190Z,-19.7009,-177.7103,441.66,4.8,mb,,35,4.461,0.86,us,usb000qfu9,2014-05-10T13:44:58.473Z,"147km NE of Ndoi Island, Fiji",earthquake
2014-05-09T14:03:59.350Z,-18.354,-178.05,527.68,5.6,mb,,83,3.756,1.09,us,usb000qfhc,2014-05-09T22:06:29.809Z,"263km NNE of Ndoi Island, Fiji",earthquake
2014-05-09T13:55:12.680Z,-23.3213,170.27,32.48,4.9,mb,,129,9.16,0.69,us,usb000qfgs,2014-05-09T21:57:52.747Z,"209km WSW of Ile Hunter, New Caledonia",earthquake
2014-05-09T12:54:53.870Z,8.7611,126.352,86.13,5,mb,,104,8,0.77,us,usb000qffh,2014-05-09T13:15:29.473Z,"7km ESE of Marihatag, Philippines",earthquake
2014-05-09T11:44:51.810Z,-34.7262,-71.7441,44.04,4.7,mb,,97,0.321,0.92,us,usb000qfdu,2014-05-10T04:12:53.961Z,"36km WSW of Santa Cruz, Chile",earthquake
2014-05-09T11:16:53.280Z,-20.5098,-71.0113,14.15,4.5,mb,,148,0.78,0.65,us,usb000qfdm,2014-05-09T20:46:35.000Z,"96km WSW of Iquique, Chile",earthquake
2014-05-09T10:32:18.750Z,-18.9225,-175.6019,153.42,5.8,mwp,,25,5.371,1.09,us,usb000qfct,2014-05-09T22:56:34.000Z,"163km NW of Pangai, Tonga",earthquake
2014-05-09T05:44:28.920Z,5.6971,125.74,143.56,5.5,mb,,31,1.373,1.31,us,usb000qf6m,2014-05-09T22:56:32.000Z,"26km SSE of Caburan, Philippines",earthquake
2014-05-09T05:34:24.080Z,-7.0346,154.6267,72.24,4.6,mb,,86,5.782,0.94,us,usb000qf6a,2014-05-09T13:37:02.257Z,"123km SW of Panguna, Papua New Guinea",earthquake
2014-05-09T04:58:48.580Z,-20.3543,-70.7722,7.45,4.6,mb,,107,0.593,1.03,us,usb000qf5d,2014-05-09T16:56:49.000Z,"67km WSW of Iquique, Chile",earthquake
2014-05-09T00:08:42.710Z,27.8308,57.4656,10,4.6,mb,,130,3.088,0.95,us,usb000qezz,2014-05-09T08:11:44.605Z,"84km NNE of Minab, Iran",earthquake
2014-05-08T23:50:11.240Z,26.3678,68.3887,15.35,4.6,mb,,83,8.399,0.78,us,usb000qez2,2014-05-09T07:52:48.871Z,"12km SE of Daur, Pakistan",earthquake
2014-05-08T22:51:15.830Z,26.3868,68.3579,14.73,4.5,mb,,100,8.396,0.79,us,usb000qexd,2014-05-09T06:53:53.903Z,"8km SSE of Daur, Pakistan",earthquake
2014-05-08T17:00:17.260Z,17.3847,-100.6563,23.95,6.4,mww,,38,2.002,1.15,us,usb000qea2,2014-05-14T04:38:03.597Z,"15km N of Tecpan de Galeana, Mexico",earthquake
2014-05-08T15:52:48.570Z,49.6759,156.1128,62.76,5.2,mb,,61,3.71,0.67,us,usb000qe6z,2014-05-09T16:05:36.142Z,"111km S of Severo-Kuril'sk, Russia",earthquake
2014-05-08T11:46:05.540Z,-4.9356,152.2614,71.17,5.2,mb,,36,6.732,0.72,us,usb000qdyw,2014-05-08T14:12:55.945Z,"64km S of Kokopo, Papua New Guinea",earthquake
